CaseStudyID	UKPRN
3859	10003958
3859	10006842
3860	10003958
3860	10006842
3862	10003958
3862	10006842
3863	10003958
3863	10006842
3864	10003958
3864	10006842
3865	10006842
3866	10006842
3869	10006842
3876	10006842
3877	10006842
3878	10006842
3879	10006842
3880	10004797
3881	10006842
3882	10006842
3894	10007801
3896	10007774
3897	10007774
3898	10007774
3899	10007146
3900	10007146
3901	10007774
3902	10007146
3903	10007146
3904	10007774
3905	10007146
3906	10007774
3907	10007774
3908	10007774
3909	10007146
3910	10007774
3912	10007146
3913	10007146
3914	10007146
3915	10007146
3916	10007146
3917	10007146
3918	10007146
3919	10007146
3920	10007146
3921	10007146
3922	10007146
3923	10007146
3924	10007146
3925	10007146
3926	10007146
3927	10007146
3928	10007146
3929	10007146
3931	10007146
3932	10007146
3934	10007146
3935	10007146
3936	10007146
3937	10007146
3938	10007146
3939	10007146
3940	10007146
3941	10006842
3942	10006842
3943	10006842
3944	10006842
3945	10006842
3946	10006842
3947	10007156
4138	10006842
4139	10006842
4140	10006842
4141	10007155
4231	10004063
4246	10004930
4325	10007155
4326	10007155
4340	10007150
4421	10006842
4422	10006842
4424	10006842
4436	10000291
4437	10006842
4438	10006842
4439	10006842
4440	10006842
4441	10006842
4442	10006842
4548	10006842
4554	10004351
4555	10004351
4556	10004351
4562	10004351
4563	10004351
4564	10007774
4565	10007774
4566	10007801
4567	10007801
4568	10007801
4570	10007801
4571	10007801
4572	10007801
4573	10007801
4574	10007774
4575	10007774
4576	10007774
4577	10007774
4578	10007774
4579	10007774
4580	10007774
4581	10007774
4582	10007801
4583	10007801
4584	10007801
4585	10007801
4586	10007801
4587	10007774
4588	10007774
4589	10007774
4590	10007801
4591	10007801
4592	10007801
4594	10007801
4595	10007801
4596	10007801
4597	10007801
4598	10007801
4599	10007801
4600	10007801
4601	10007801
4602	10007801
4603	10007774
4604	10006299
4605	10006299
4607	10007150
4608	10007150
4610	10007150
4611	10007774
4612	10007774
4624	10007774
4625	10007774
4644	10007801
4645	10007801
4646	10007801
4652	10007801
4653	10007150
4654	10007801
4659	10007801
4660	10007801
4663	10007801
4664	10007801
4665	10007801
4666	10007801
4667	10007801
4668	10007801
4669	10007801
4670	10007801
4671	10007774
4674	10007801
4675	10007801
4676	10007801
4677	10007801
4678	10007801
4679	10007150
4680	10007801
4681	10007801
4682	10007801
4683	10007150
4851	10004351
4862	10007774
4864	10007774
4865	10007774
4866	10007774
4867	10007774
4868	10007774
4869	10007774
4870	10007774
4872	10007774
4873	10007774
4874	10007774
4875	10007774
4876	10007774
4877	10007774
4879	10007774
4880	10007774
4881	10007774
4882	10007774
4883	10007774
4884	10007774
4885	10007774
4886	10007774
4888	10007774
4889	10007774
4892	10007774
4893	10007774
4894	10007774
4895	10007774
4896	10007774
4897	10007774
4898	10007774
4899	10007774
4900	10007774
4901	10007774
4902	10007774
4903	10007774
4904	10007774
4905	10007774
4906	10007774
4907	10007774
4909	10007774
4912	10007774
4913	10007774
4914	10007774
4937	10006299
4938	10006299
4940	10006299
4942	10006299
4944	10006299
4945	10006299
4946	10006299
4948	10005790
4949	10005790
4950	10005790
4951	10005790
4952	10005790
4953	10005790
4957	10005790
4958	10005790
4959	10005790
4960	10005790
4961	10005790
4962	10005790
4963	10005790
4964	10005790
4965	10005790
4966	10005790
4967	10005790
4973	10005790
4974	10005790
4975	10005790
4976	10005790
4977	10005790
4978	10005790
4979	10005790
4980	10005790
4982	10005790
4983	10005790
4984	10005790
4985	10005790
4989	10000291
5000	10000291
5252	10006299
5253	10000291
5254	10000291
5255	10000291
5257	10006299
5261	10000291
5276	10005337
5277	10005337
5278	10005337
5297	10006299
5298	10006299
5300	10006299
5400	10007166
5401	10007166
5569	10006842
5571	10006842
